x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80
0.022693736,0.0236425,0.021423494,0.022089561,0.020837661,0.021009019,0.02045932,0.020798602,0.019801172,0.020376083,0.019097821,0.020308016,0.018935029,0.019769401,0.019082147,0.019281279,0.019549437,0.017348178,0.016922891,0.017266153,0.015054114,0.019231944,0.012520893,0.014394347,0.013433597,0.013020706,0.014756284,0.012064893,0.011603647,0.013341157,0.012294777,0.01531808,0.009330252,0.010693038,0.009302098,0.009200911,0.010990129,0.008062697,0.007768236,0.008092872,0.007566833,0.010338311,0.006040511,0.006686775,0.005717057,0.005722163,0.006405209,0.00512176,0.00431688,0.004199608,0.003937202,0.00555941,0.002816996,0.003140482,0.002955347,0.002659153,0.003019429,0.002151863,0.001928752,0.001659601,0.001443438,0.001806249,0.000928535,0.000964737,0.000770142,0.000655789,0.000680344,0.000430765,0.000323213,0.00026551,0.000198995,0.000213032,0.000102618,8.08E-05,5.62E-05,4.32E-05,3.36E-05,2.10E-05,1.61E-05,1.15E-05
0.024124221,0.022601346,0.023512868,0.021305815,0.021968138,0.020723361,0.020893568,0.020339267,0.02067714,0.019684755,0.0202558,0.018985593,0.020180706,0.018816995,0.019645598,0.01896228,0.019159918,0.019410343,0.01722439,0.01680218,0.017141975,0.014945541,0.01907949,0.012421596,0.014279559,0.013325648,0.012914917,0.014614658,0.011948145,0.01149071,0.013209429,0.012171813,0.01512935,0.00921462,0.01055901,0.009184153,0.009082341,0.010804586,0.007925508,0.007633695,0.007949513,0.007430158,0.010089042,0.005893826,0.006520582,0.005572252,0.005575306,0.00617449,0.004933744,0.0041562,0.00403837,0.003783068,0.005249229,0.002658677,0.002960498,0.00278365,0.002500444,0.0027737,0.001972161,0.001765274,0.001514941,0.001315613,0.001578253,0.000810064,0.000838507,0.000668064,0.000567206,0.000555951,0.000350736,0.000262214,0.000214428,0.00016049,0.000162182,7.80E-05,6.11E-05,4.23E-05,3.25E-05,2.53E-05,1.55E-05,1.19E-05
0.024077797,0.024028303,0.022480602,0.023386996,0.021191669,0.021850723,0.02061237,0.020774192,0.020223687,0.020558715,0.019571541,0.020139858,0.018869642,0.020058019,0.018702228,0.019525279,0.018845874,0.019027009,0.01927527,0.017104573,0.016684205,0.01702123,0.014829799,0.018931542,0.012324708,0.014167231,0.013219503,0.012793677,0.014475908,0.011834091,0.011379294,0.013079408,0.012024596,0.014945,0.009100869,0.010426877,0.009067278,0.008931721,0.010623347,0.007789922,0.007499644,0.007807175,0.007252973,0.009847382,0.005748603,0.006356224,0.005429633,0.00537662,0.005950084,0.00475131,0.003996985,0.003880712,0.003573137,0.00495723,0.00250705,0.002789064,0.002617367,0.002298452,0.002544089,0.001805954,0.001611317,0.001380838,0.001150022,0.001379057,0.000704295,0.000727582,0.000577656,0.000463939,0.000453438,0.000284817,0.000211806,0.000172979,0.000122333,0.00012369,5.91E-05,4.60E-05,3.18E-05,2.44E-05,1.87E-05,1.14E-05
0.024673491,0.023984367,0.023903317,0.022363395,0.023264955,0.02108138,0.021736739,0.02049775,0.020659405,0.020110956,0.020443554,0.019462539,0.020020058,0.018758027,0.01993875,0.018590693,0.01940846,0.018718506,0.018897957,0.019144602,0.016987403,0.0165695,0.016892474,0.014717508,0.018787129,0.012229835,0.014056656,0.01309805,0.012674795,0.01434029,0.011721401,0.011269165,0.012924003,0.011880708,0.014763406,0.008988562,0.010295689,0.008919376,0.00878445,0.010443827,0.007654443,0.007366249,0.007623274,0.007081081,0.009607489,0.005604645,0.006194045,0.005237951,0.005182914,0.005731924,0.004569853,0.003840977,0.003667069,0.003375355,0.004676877,0.002362379,0.002622524,0.002407507,0.002109102,0.002331257,0.001648868,0.001468373,0.00120819,0.001005193,0.001200488,0.000611199,0.000629111,0.000473052,0.000378629,0.000368722,0.000230179,0.000170873,0.000132149,9.34E-05,9.39E-05,4.45E-05,3.46E-05,2.39E-05,1.81E-05,1.38E-05
0.024277709,0.024580101,0.023862983,0.023782032,0.022249811,0.023147142,0.020974349,0.021619206,0.020387682,0.020547406,0.020001336,0.020332811,0.019349889,0.019904874,0.018649517,0.019822869,0.018482418,0.019280752,0.01859485,0.018773182,0.019016745,0.016873492,0.016447162,0.016767593,0.014607861,0.018645621,0.012136335,0.013930368,0.012978846,0.012558537,0.014206075,0.011609845,0.011137766,0.012772016,0.011738781,0.014583849,0.008876843,0.010130291,0.008774611,0.008638257,0.010263925,0.007519325,0.007194535,0.007444746,0.006909967,0.009369139,0.005462348,0.005977533,0.005050616,0.004994234,0.005514109,0.004391674,0.003630708,0.003465624,0.003184996,0.0044089,0.002221404,0.002414074,0.002210139,0.001933252,0.002129368,0.001502761,0.001285552,0.001056957,0.000874951,0.001042952,0.000528376,0.00051599,0.000386406,0.00030797,0.000298262,0.00018576,0.000130812,0.000101136,7.10E-05,7.10E-05,3.35E-05,2.61E-05,1.77E-05,1.34E-05
0.024439911,0.02418814,0.024459162,0.023745234,0.023664557,0.022140263,0.023032849,0.020864146,0.0215065,0.020280251,0.020438501,0.019896057,0.020218352,0.019241717,0.019792901,0.018544098,0.019710422,0.01836406,0.019156783,0.018475367,0.018651009,0.018892463,0.016751996,0.016328542,0.016645605,0.014500349,0.018505987,0.012029745,0.013806301,0.012862211,0.012443295,0.014073001,0.011476986,0.011009173,0.012621887,0.01159824,0.014404886,0.008736547,0.009968218,0.008630575,0.008491333,0.010084091,0.007346027,0.00702772,0.007266523,0.006739536,0.009133192,0.005273644,0.005765405,0.004867785,0.004805125,0.005299774,0.004152808,0.003432284,0.003271252,0.003002735,0.004146947,0.002046417,0.002217385,0.00202649,0.001765861,0.001941234,0.001317048,0.001125208,0.000920466,0.000759897,0.000902382,0.000433939,0.000422003,0.00031446,0.000249064,0.000240886,0.000142541,0.000100317,7.70E-05,5.37E-05,5.35E-05,2.53E-05,1.94E-05,1.31E-05
0.024151379,0.02435208,0.024072529,0.024341889,0.023631247,0.023551368,0.022034028,0.022915372,0.020758628,0.021396452,0.020175798,0.020334053,0.01978723,0.020108591,0.019136561,0.019684134,0.018441827,0.01958779,0.018249175,0.019037075,0.018358295,0.018532264,0.018759914,0.016634233,0.016212625,0.016525908,0.014394134,0.018347051,0.011924922,0.01368484,0.012746397,0.012328855,0.013914808,0.011346877,0.010881971,0.01247299,0.011457895,0.014181072,0.008598915,0.00980657,0.008485384,0.008344135,0.009854304,0.007177554,0.006860701,0.007088581,0.006570515,0.008822328,0.005088304,0.005557967,0.004683816,0.004618637,0.005013927,0.003927211,0.003240349,0.003084823,0.002824022,0.003824334,0.001880748,0.002033993,0.00185106,0.001609625,0.001703527,0.001153902,0.00098001,0.000799678,0.000657048,0.000743035,0.000355254,0.000343738,0.000254325,0.000201082,0.000185341,0.000109561,7.65E-05,5.83E-05,4.05E-05,4.04E-05,1.88E-05,1.44E-05
0.023894839,0.024066889,0.024239111,0.023960472,0.02422843,0.023521536,0.023441649,0.02192502,0.022803068,0.020655561,0.021289462,0.020075766,0.02022607,0.01968302,0.020001897,0.019034428,0.019578647,0.018330351,0.019468796,0.018138302,0.018919698,0.018244524,0.01840557,0.018631485,0.016519108,0.016098803,0.016407501,0.01427353,0.018190581,0.011822243,0.013564021,0.0126312,0.012193083,0.013759781,0.011217983,0.010755616,0.012323993,0.011283148,0.013961258,0.008461307,0.009643114,0.008339582,0.008156713,0.009630754,0.007008375,0.006693519,0.006911805,0.006349372,0.008516262,0.004906695,0.005348409,0.004502007,0.004371273,0.004743729,0.00370844,0.003055944,0.00290145,0.002605862,0.003517859,0.001725962,0.001858182,0.001687061,0.00141352,0.001494322,0.001005615,0.000851326,0.000691452,0.000541423,0.000609725,0.000289558,0.000278126,0.000205313,0.000154981,0.000142828,8.36E-05,5.79E-05,4.40E-05,3.06E-05,3.01E-05,1.40E-05
0.022339851,0.023813531,0.02395863,0.024129662,0.023852126,0.02411935,0.023415234,0.02332926,0.021820991,0.022693328,0.020555369,0.021187162,0.01997234,0.020122827,0.019581727,0.019898291,0.018935405,0.019463793,0.018222195,0.019354066,0.018029491,0.018805646,0.018123106,0.018282861,0.018505885,0.016405982,0.015986059,0.01627334,0.014154676,0.018037221,0.01171992,0.013443642,0.012494807,0.012059938,0.013605956,0.011089737,0.010628915,0.012139283,0.011111331,0.013740931,0.008321718,0.00947857,0.008154642,0.007974256,0.009405588,0.006838599,0.006527106,0.006682119,0.00613108,0.008215737,0.004722501,0.005140863,0.004262209,0.004137254,0.00448103,0.003497887,0.002874001,0.00267949,0.002397909,0.003230838,0.001577037,0.001693548,0.001482572,0.001240695,0.001303421,0.00087395,0.000735797,0.000570661,0.000444467,0.000497976,0.00023433,0.000224591,0.000158549,0.000119638,0.000109252,6.35E-05,4.38E-05,3.33E-05,2.28E-05,2.24E-05
0.021767665,0.022265967,0.02370976,0.023853795,0.02402391,0.023748089,0.024013712,0.023306563,0.023222203,0.021719296,0.022586658,0.020459729,0.021081378,0.019873617,0.02002248,0.019483382,0.019797877,0.018827675,0.019352386,0.018117992,0.019241409,0.017923755,0.018683886,0.018005556,0.018162803,0.018382375,0.016293777,0.015858616,0.016140978,0.014038114,0.017884095,0.011617791,0.013301419,0.012360956,0.011927623,0.01345263,0.010960863,0.010472569,0.011957449,0.010938681,0.01351671,0.008180855,0.0092707,0.007974473,0.007789928,0.009179041,0.006669281,0.00631246,0.006454807,0.005916296,0.007909733,0.00453968,0.004868665,0.004035159,0.003909142,0.004227745,0.003289498,0.00265574,0.002467182,0.002202781,0.002953631,0.001437341,0.001489596,0.001302115,0.001082441,0.001133569,0.000755456,0.000607883,0.00046906,0.000363023,0.00040364,0.000189234,0.000173831,0.000122627,9.16E-05,8.30E-05,4.80E-05,3.31E-05,2.49E-05,1.70E-05
